error,id,institute,state,branch,quota,category,gender,opening_rank,closing_rank
,21,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,10660,11791
,22,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),10106,10106
,23,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,27375,65772
,24,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),29241,29409
,25,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,6339,10416
,26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),12175,12175
,27,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,General,Gender-Neutral,24708,29435
,28,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,General,Female-only (including Supernumerary),30611,37654
,29,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,General (PWD),Gender-Neutral,1964,1964
,30,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,5086,5116
,31,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),6943,6943
,32,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,8368,10047
,33,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),15293,15327
,34,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,5405,6522
,35,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),9345,9345
,36,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1407,1884
,37,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),3063,3063
,38,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",HS,General,Gender-Neutral,26254,42749
,39,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",HS,General,Female-only (including Supernumerary),35581,50428
,40,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",HS,General (PWD),Gender-Neutral,2185,2185
,41,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,7686,9885
,42,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),8421,8421
,43,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,27150,47461
,44,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),34584,56995
,45,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,6508,9160
,46,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),9828,9828
,47,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",OS,General,Gender-Neutral,18821,28571
,48,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",OS,General,Female-only (including Supernumerary),39066,40971
,49,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,4666,4745
,50,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),7317,7317
,51,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS (PWD),Gender-Neutral,231,231
,52,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,7559,8633
,53,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),15866,16675
,54,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PWD),Gender-Neutral,916,916
,55,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3279,4410
,56,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),7683,7683
,57,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,910,930
,58,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),694,694
,59,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,General,Gender-Neutral,6183,9505
,60,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,General,Female-only (including Supernumerary),10589,15820
,61,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,General (PWD),Gender-Neutral,354,354
,62,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,1652,3066
,63,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),4015,4015
,64,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,2745,11292
,65,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),11888,18488
,66,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL (PWD),Gender-Neutral,1333,1333
,67,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,1078,2969
,68,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),3188,3600
,69,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC (PWD),Gender-Neutral,119,119
,70,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,2761,27269
,71,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),16777,16777
,72,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,General,Gender-Neutral,6140,7531
,73,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,General,Female-only (including Supernumerary),9800,12912
,74,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,General (PWD),Gender-Neutral,317,317
,75,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,1150,1276
,76,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),2464,2486
,77,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,1541,2765
,78,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),4719,6811
,79,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PWD),Gender-Neutral,289,289
,80,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,948,1553
,81,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),2296,3053
,82,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,406,669
,83,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),1579,1579
,84,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,General,Gender-Neutral,20063,23263
,85,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,General,Female-only (including Supernumerary),27606,29045
,86,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,General (PWD),Gender-Neutral,1308,1308
,87,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,5033,5367
,88,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),6799,6799
,89,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,27119,32145
,90,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),31815,31815
,91,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,5451,6393
,92,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),11083,11083
,93,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1434,1434
,94,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,General,Gender-Neutral,15514,17207
,95,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,General,Female-only (including Supernumerary),23352,23449
,96,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,General (PWD),Female-only (including Supernumerary),1500,1500
,97,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,2822,2856
,98,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),4931,4931
,99,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,4370,5588
,100,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),10725,10725
,101,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PWD),Gender-Neutral,427,427
,102,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3178,3914
,103,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),6382,6382
,104,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,382,1334
,105,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,General,Gender-Neutral,13708,17235
,106,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,General,Female-only (including Supernumerary),22548,27595
,107,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,General (PWD),Gender-Neutral,765,765
,108,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,4153,5019
,109,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),6641,6641
,110,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,11408,26314
,111,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),20774,26365
,112,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,4265,5400
,113,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),6732,7070
,114,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,7660,7660
,115,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,General,Gender-Neutral,10440,12352
,116,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,General,Female-only (including Supernumerary),16070,18750
,117,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,General (PWD),Gender-Neutral,581,581
,118,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,General (PWD),Female-only (including Supernumerary),1049,1049
,119,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,1935,1989
,120,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),3244,3244
,121,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,3825,4480
,122,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),9733,10611
,123,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2418,2995
,124,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),4118,5728
,125,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1276,1521
,126,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),1972,1972
,127,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,General,Gender-Neutral,46127,61910
,128,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,General,Female-only (including Supernumerary),52599,56702
,129,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,12446,12808
,130,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),12759,12759
,131,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,61449,112298
,132,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),86790,88389
,133,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,8956,14010
,134,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),16205,16205
,135,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,General,Gender-Neutral,28635,34933
,136,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,General,Female-only (including Supernumerary),41317,42632
,137,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,5724,6079
,138,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),8174,8174
,139,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,10919,12517
,140,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),18864,19141
,141,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,6327,7360
,142,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),10286,10286
,143,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,3083,3146
,144,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),4805,4805
,145,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Information Technology (4 Years, Bachelor of Technology)",HS,General,Gender-Neutral,9784,13848
,146,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Information Technology (4 Years, Bachelor of Technology)",HS,General,Female-only (including Supernumerary),17575,21958
,147,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Information Technology (4 Years, Bachelor of Technology)",HS,General (PWD),Gender-Neutral,693,693
,148,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Information Technology (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,3219,4032
,149,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Information Technology (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),4517,4517
,150,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Information Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,11327,16160
,151,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Information Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),23601,25202
,152,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Information Technology (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,3621,5038
,153,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Information Technology (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),5790,6149
,154,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Information Technology (4 Years, Bachelor of Technology)",OS,General,Gender-Neutral,7768,9387
,155,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Information Technology (4 Years, Bachelor of Technology)",OS,General,Female-only (including Supernumerary),14453,15527
,156,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Information Technology (4 Years, Bachelor of Technology)",OS,General (PWD),Gender-Neutral,371,371
,157,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Information Technology (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,1482,1531
,158,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Information Technology (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),3063,3063
,159,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Information Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,2915,3627
